kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag,depth_duration_ratio,radius_period_ratio,impact_duration_ratio,insol_radius_ratio
9517393,K02076.02,Kepler-1085 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,219.3215562,0.0008517,-0.0008517,320.72862,0.00218,-0.00218,0.244,0.078,-0.244,12.4124,0.0964,-0.0964,3628.7,41.2,-41.2,6.11,1.52,-0.65,313.0,,,2.27,1.71,-0.67,93.8,1.0,q1_q17_dr25_tce,6063.0,181.0,-181.0,4.476,0.055,-0.165,1.012,0.252,-0.108,287.47763,46.141178,15.273,292.34475202217135,0.027858638730559947,0.019657761593245462,0.37152209492635024
8052474,K03640.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,245.4382021,0.0001253,-0.0001253,361.302835,0.000385,-0.000385,1.001,0.022,-0.02,14.502,0.037,-0.037,11312.0,19.8,-19.8,19.17,5.21,-3.47,289.0,,,1.66,1.39,-0.69,844.7,1.0,q1_q17_dr25_tce,5637.0,186.0,-186.0,4.383,0.153,-0.187,0.99,0.269,-0.179,298.7836,43.854832,12.777,780.0303406426699,0.07810520055956685,0.06902496207419666,0.08659363588941052
3534118,K03641.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,178.4129899,3.096e-05,-3.096e-05,218.225235,0.000127,-0.000127,0.936,0.093,-0.046,2.9298,0.0124,-0.0124,37510.0,100.0,-100.0,33.24,5.85,-3.59,361.0,,,4.0,2.0,-1.09,535.1,1.0,q1_q17_dr25_tce,6078.0,122.0,-134.0,4.346,0.084,-0.126,1.148,0.202,-0.124,288.32785,38.627621,13.944,12802.921701140009,0.18630930415229816,0.3194757321318861,0.12033694344163658
2441161,K03642.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,2.192004364,1.463e-06,-1.463e-06,132.218114,0.000761,-0.000761,1.003,0.17,-0.127,3.075,0.0149,-0.0149,99583.0,418.0,-418.0,37.56,5.91,-2.51,1118.0,,,369.54,198.02,-90.41,298.7,1.0,q1_q17_dr25_tce,5306.0,185.0,-185.0,4.642,0.03,-0.096,0.687,0.108,-0.046,290.93845,37.701172,16.654,32384.71544715447,17.13500238268686,0.3261788617886178,9.838658146964857
3231120,K03643.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,3.900109346,2.063e-06,-2.063e-06,133.380544,0.000602,-0.000602,0.733,0.054,-0.033,3.9037,0.0167,-0.0167,126190.0,451.0,-451.0,40.37,11.46,-5.29,1160.0,,,427.83,364.88,-145.15,448.0,1.0,q1_q17_dr25_tce,5791.0,172.0,-190.0,4.424,0.105,-0.18,0.969,0.275,-0.127,290.34445,38.377071,16.597,32325.742244537232,10.350991836011975,0.18777057663242563,10.597721080009908
12216706,K03644.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,1.471060209,1.295e-06,-1.295e-06,132.27522,0.00022,-0.00022,0.895,0.022,-0.029,4.3708,0.0111,-0.0111,148440.0,310.0,-310.0,165.15,33.36,-77.78,3693.0,,,43941.18,26833.88,-33639.77,563.0,1.0,q1_q17_dr25_tce,8749.0,241.0,-379.0,3.806,0.425,-0.1,2.911,0.588,-1.371,295.74377,50.830921,15.009,33961.74613343095,112.26596912186618,0.20476800585705135,266.0683015440509
10735331,K03720.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,213.3990406,0.0001087,-0.0001087,274.209685,0.000383,-0.000383,0.981,0.046,-0.03,6.5043,0.034,-0.034,13930.0,52.7,-52.7,35.2,7.38,-9.02,468.0,,,11.32,7.18,-5.97,370.9,1.0,q1_q17_dr25_tce,6960.0,194.0,-267.0,4.069,0.176,-0.144,1.83,0.384,-0.469,293.49066,48.095371,13.381,2141.6601325277124,0.16494919518396373,0.15082330150823303,0.3215909090909091
7763269,K03721.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,6.40802979,7.809e-05,-7.809e-05,134.0732,0.01,-0.01,1.287,51.87,-0.254,2.9288,0.034,-0.034,7784.1,85.8,-85.8,51.44,15.55,-10.34,1157.0,,,424.01,390.02,-192.66,108.2,1.0,q1_q17_dr25_tce,6261.0,197.0,-241.0,4.293,0.153,-0.187,1.194,0.361,-0.24,295.15491,43.444321,14.078,2657.7779295274518,8.027428349392864,0.4394291177273969,8.242807153965785
5471606,K03723.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,1,0,0,1,0.962835804,6.77e-07,-6.77e-07,132.198475,0.000603,-0.000603,0.836,0.004,-0.005,4.9844,0.0455,-0.0455,14328.0,94.8,-94.8,458.02,179.2,-119.5,7100.0,,,602806.92,743581.97,-307798.22,209.2,1.0,q1_q17_dr25_tce,3982.0,145.0,-108.0,1.464,0.286,-0.234,32.244,12.618,-8.412,297.69974,40.641468,10.82,2874.5686542011076,475.69896974874024,0.16772329668565925,1316.1148421466312
11200405,K03724.01,,FALSE POSITIVE,FALSE POSITIVE,0.022,0,1,0,0,4.639602084,7.06e-06,-7.06e-06,135.09909,0.0017,-0.0017,0.634,0.032,-0.055,3.4636,0.0579,-0.0579,25079.0,216.0,-216.0,19.96,5.56,-5.57,1285.0,,,643.95,554.9,-351.05,131.0,1.0,q1_q17_dr25_tce,6078.0,200.0,-200.0,4.223,0.27,-0.18,1.194,0.333,-0.333,296.35413,48.863621,16.803,7240.732186164684,4.302093075790593,0.18304654117103591,32.262024048096194
